wk,Others,Knowledge Seeking,Method Learning,Problem Solving
W34,29,51,13,14
W35,23,37,9,13
W36,19,13,2,0
W37,35,43,11,12
W38,13,12,5,2
W39,15,19,5,2
W40,29,7,9,9
W41,61,65,31,35
W42,3,5,2,3
W43,5,13,1,1
W44,6,5,1,2
W45,8,5,1,1
W46,6,5,1,0
